Marca temporal,"El siguiente cuestionario hace parte de una tesis de maestría cuyo objetivo es indagar sobre las dinámicas de violencias basadas en género (VBG) en la Universidad de Antioquia. Su participación es completamente voluntaria y confidencial; puede retirarse en cualquier momento si así lo desea. Los datos serán anónimos y utilizados únicamente con fines académicos. Al continuar con esta encuesta, usted acepta participar de manera voluntaria y comprendiendo que puede omitir cualquier pregunta que le cause incomodidad. Si tiene preguntas, puede contactarme al correo Natalia.loperao@udea.edu.co. 
¿Desea continuar con el cuestionario? ",Pregrado,Semestre,Edad,Género,¿Ha sido víctima de alguno de los siguientes hechos al interior de la facultad? Seleccione una o varias opciones.  ,¿Ha tenido conocimiento de la ocurrencia de alguno de los siguientes hechos al interior de la facultad? Seleccione una o varias opciones,El último hecho del que tuvo conocimiento o ha sido víctima ocurrió,"De los siguientes hechos, seleccione los que considera que tiene mayor ocurrencia en la facultad. (Elija solo dos opciones)","Desde su perspectiva, ¿de cuáles actores suelen provenir en mayor medida los hechos de violencia de género? Seleccione máximo dos opciones. ","Desde su perspectiva, ¿en qué espacios suelen ocurrir con mayor frecuencia los hechos de violencia de género? Seleccione 3 opciones máximo",¿Qué iniciativas institucionales para la sensibilización de la violencia de género cconoce ? (Puede elegir multiples opciones),De las siguientes iniciativas ¿a cuántas ha asistido? (Puede elegir multiples opciones),"¿conoce la Ruta Violeta? (Marque una opción del 1 al 5, siendo 1 que no conoce nada y 5 que conoce mucho)","Si fueras víctima de violencia de género, ¿a qué dependencia recurriría para hacer la denuncia? (Puede elegir varias opciones). ","De los siguientes mecanismos de denuncia no institucional, ¿en cuáles ha participado? (Puede elegir varias opciones)","En caso de que usted fuera víctima de violencia de género ¿considera que puede recurrir a la Universidad en busca de ayuda, aunque el hecho se haya producido por fuera de ella?",¿Considera la Universidad un entorno seguro? ,  ¿Cómo calificaría los mecanismos institucionales para la atención de casos de violencia de género?  , ¿Cómo calificaría las posturas y estrategias del personal administrativo frente a las violencias basadas en género?  , ¿Cómo calificaría las posturas y estrategias de los docentes frente a las violencias basadas en género?  ,En términos generales ¿Cómo describiría al personal administrativo de la facultad?  ,En términos generales ¿Cómo describiría a los docentes de la facultad?  ,"¿Considera que el trato recibido por parte de los administrativos de la facultad fomenta la confianza, propiciando ambientes idóneos para las denuncias de violencias basadas en género?","¿Considera que el trato recibido por parte de los docentes de la facultad fomenta la confianza, propiciando ambientes idóneos para las denuncias de violencias basadas en género?","De los siguientes aspectos, seleccione los que considera más prioritarios para mejora la atención de los casos de violencia de género. Seleccione máximo 3 opciones  ","  Si considera que hay otro aspecto administrativo que la universidad deba mejorar para que la atención de los casos de violencia de género sea efectiva, porfavor mencionelos aquí.   "
27/9/2024 10:12:11,Sí,Sociología ,Cuarto,20,Femenino,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes, Compañero sexual o afectivo que también es estudiante, Actores externos al rededor de la universidad","Pasillos, Baños, Espacios de interacción social (plazoleta, jardineras, etc)",Conversatorios e iniciativas culturales y artísticas,Conversatorios e iniciativas culturales y artísticas,5,Bienestar Universitario,Protestas,No,No,No efectivos,Conservadoras,Flexibles,Inoperante,Autoritario,No,No,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",Considero que debería haber una investigación más profunda a la hora de tratar un tema de VBG ya que le dan importancia unos días y luego se olvidan completamente del caso y eso en síntesis es hacer nada.
27/9/2024 10:14:39,Sí,Psicología ,1,18,Femenino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Compañero sexual o afectivo que también es estudiante","Pasillos, Baños",Campañas de sensibilización,Campañas de sensibilización,2,"Bienestar Universitario, Jefaturas, Decanatura",Ninguno,Sí,Sí,No efectivos,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
27/9/2024 10:15:10,Sí,Psicología ,1,18,Femenino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual)",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Compañero sexual o afectivo que también es estudiante","Alrededores de la Universidad, Pasillos","No género violencia, Conversatorios e iniciativas culturales y artísticas",Ninguna,1,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Ninguno,No,Sí,No sabe/No responde,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Mayor difusión de los protocolos y rutas de atención",.
27/9/2024 10:17:08,Sí,Antropología ,Primero,20,Femenino,Nignuno,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",Estudiantes,"Aulas, Espacios de interacción social (plazoleta, jardineras, etc)",Campañas de sensibilización,Ninguna,4,"Bienestar Universitario, Centro de atención en género y diversidad sexual","Protestas, Escrache",No,No,No efectivos,Conservadoras,Conservadoras,Inoperante,Inoperante,No,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas","Creo que sí es necesario generar consciencia al rededor de toda la comunidad universitaria, esto incluyendo de manera directa a administrativos y profesores, cómo es posible que una victima denuncie y sea invalidad y no se le escuche, incluso se le diga que su abusador “es una buena persona en realidad” y qué podemos esperar quienes sabemos de casos como este? La confianza hacia los procesos no es posible cuando una sabe esto. Las victimas de violencias basadas en género han sabido que a nivel administrativo y jurídico histórica y culturalmente está cimentado en terrenos no amigables con las mujeres violentadas, es lamentable que la universidad perpetúe esto "
27/9/2024 10:17:29,Sí,Antropología,Sexto,20,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Compañero sexual o afectivo que también es estudiante, Actores externos al rededor de la universidad","Aulas, Prácticas y/o salidas de campo","Cátedra del cuidado de sí (Nataly Palacios), Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización",Ninguna,4,"Bienestar Universitario, Centro de atención en género y diversidad sexual, Líneas de atención telefónica o vía email",Ninguno,Sí,Sí,Parcialmente efectivos,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes",
27/9/2024 10:28:20,Sí,Trabajo Social ,2,18,Femenino,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 3 meses,Comentarios sexistas en espacios de interacción social o esparcimiento,"Estudiantes, Docentes","Aulas, Alrededores de la Universidad","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización",Ninguna,3,Centro de atención en género y diversidad sexual,Ninguno,No,Sí,No sabe/No responde,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 10:28:32,Sí,Trabajo social,2,17,Femenino,Nignuno,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual)",En los últimos 3 meses,"Violación sexual, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Docentes, Administrativos, Compañero sexual o afectivo que también es estudiante, Actores externos al rededor de la universidad","Pasillos, Baños, Oficinas","No género violencia, Cátedra del cuidado de sí (Nataly Palacios), Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización","No género violencia, Conversatorios e iniciativas culturales y artísticas",4,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Ninguno,No,Sí,Parcialmente efectivos,No sabe/No responde,Flexibles,"Colaborativo, proactivo","Colaborativo, proactivo",Sí,Sí,"Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 10:36:35,Sí,Antropología ,7,22,Masculino,Comentarios sexistas en espacios de interacción social o esparcimiento,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Actores externos al rededor de la universidad","Alrededores de la Universidad, Prácticas y/o salidas de campo, Pasillos","No género violencia, Cátedra del cuidado de sí (Nataly Palacios), Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización",Conversatorios e iniciativas culturales y artísticas,3,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD), Jefaturas",Protestas,No,Sí,No efectivos,Flexibles,Flexibles,Inoperante,"Colaborativo, proactivo",No,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 10:42:56,Sí,Antropología,8,35,No binario,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad","Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad, -Exposición de material audiovisual de estudiantes udea mujeres  en redes sociales no consentido. - ""chistes"" sexistas en la facultad porcparte de profesores y estudiantes",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Docentes","Aulas, Alrededores de la Universidad, Espacios de interacción social (plazoleta, jardineras, etc)","No género violencia, Cátedra del cuidado de sí (Nataly Palacios), Cursos y seminarios","Cursos y seminarios, Ninguna",3,"Bienestar Universitario, Centro de atención en género y diversidad sexual, Jefaturas",Espacios asamblearios motivadas por VBG,No,Sí,No efectivos,Conservadoras,Conservadoras,Inoperante,Autoritario,No sabe/No responde,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas","En mi largos años  como estudiante , he observado de muchos casos La universidad se"" lava las manos ""  porque no logra adscribir una responsabilidad civil propia satisfactoria a cada caso por razones de la singularidad de estos  y de manera general termina siendo ineficaz cualquier protocolo al enfrentarse estos a la dinámica burocratica de los diferentes estamentos permitiendo así a victimarixs salir a la sociedad y continuar en ignorancia de su potencial maligno y peor aun sintiendo q la alma mater los convirtio en parias de la sociedad generando un peligro incalculable.
La universidad y lxs colectivxs deben propender eccindirse de las tradicionales logicas punitivistas y procurar a toda costa innovaciones teoricopractocas q ayuden a victimarios a recuperar algun umbral de confianza en  la sociedad que lo juzga. Es decir: un estudiante acosador sexual  o una estudiante q usa la mitomania se va de la u echado y sin un verdadero proceso disciplinario a seguir sus fechorias a otras victimas en total libertad. Eso debe ser conciliado diseñando procesos disciplinarios q permitan tner algun grado de certeza de q esos reprochables actos no sucederan de nuevo. Esa es la verdadera responsabilidad civil y social de todxs. Y de la u mas alla. A la larga puede generar en las victimas la posibilidad de recuperar confianza no en ese individuo sino en las aspiraciones de justicia y reparación(y claro  q no en todo los casos, hay unos tan  delicados q requieren otro tipo de procesos inmediatos fuera de la u   pero la misión universitaria no puede ni debe permitir q una persona filiada al alma mater se vaya por motivo de vbg sin un proceso disciplinario acorde. ) en resumen ..los procesos disciplinarios deben tener nucleos programaticos  de acuerdo a la caracterizacion de cada caso "
27/9/2024 11:02:34,Sí,Sociología ,3,24,Femenino,"Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes","Aulas, Alrededores de la Universidad, Prácticas y/o salidas de campo",Campañas de sensibilización,Ninguna,3,Jefaturas,Protestas,No,Sí,Parcialmente efectivos,No sabe/No responde,Flexibles,No sabe/No responde,Innovador,No,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 11:21:35,Sí,Sociología,1,24,Femenino,Nignuno,Nignuno,No aplica,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",Estudiantes,"Baños, Espacios de interacción social (plazoleta, jardineras, etc)",Ninguna,Ninguna,3,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD), Centro de atención en género y diversidad sexual",Ninguno,No,Sí,No efectivos,No sabe/No responde,Conservadoras,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 11:22:23,Sí,Sociología ,7,22,Femenino,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual)","Violación sexual, Acoso Sexual (Acoso físico, verbal, visual)",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes","Prácticas y/o salidas de campo, Oficinas",Ninguna,Ninguna,3,Jefaturas,"Protestas, Escrache",No,Sí,No efectivos,No sabe/No responde,Flexibles,"Colaborativo, proactivo","Colaborativo, proactivo",No sabe/No responde,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 11:22:58,Sí,Sociología ,2,20,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes, Administrativos","Alrededores de la Universidad, Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización","Cursos y seminarios, Campañas de sensibilización",3,"Bienestar Universitario, Centro de atención en género y diversidad sexual, Líneas de atención telefónica o vía email",Ninguno,No,No,No efectivos,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,No,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",N.a
27/9/2024 11:23:43,Sí,Sociologia,3,20,Femenino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En el último año,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Docentes","Prácticas y/o salidas de campo, Espacios de interacción social (plazoleta, jardineras, etc)",Conversatorios e iniciativas culturales y artísticas,Ninguna,3,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD)",Ninguno,No,Sí,Parcialmente efectivos,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales",
27/9/2024 11:25:14,Sí,Sociología ,4,20,Femenino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Docentes, Compañero sexual o afectivo que también es estudiante","Aulas, Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)",Ninguna,Ninguna,2,"Unidad de asuntos disciplinarios (UAD), Líneas de atención telefónica o vía email",Escrache,No,Sí,No sabe/No responde,No sabe/No responde,Flexibles,No sabe/No responde,Inoperante,No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 11:26:16,Sí,Sociología ,6,38,Femenino,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad","Estudiantes, Docentes","Alrededores de la Universidad, Prácticas y/o salidas de campo, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",3,Bienestar Universitario,"Protestas, Escrache, Divulgación en medios independientes como revistas",No,No,No efectivos,Conservadoras,Conservadoras,Inoperante,Inoperante,No,No,"Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 11:27:43,Sí,Sociología ,3,20,Femenino,Nignuno,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual)",Estudiantes,Alrededores de la Universidad,Ninguna,Ninguna,1,"Bienestar Universitario, Centro de atención en género y diversidad sexual, Jefaturas",Ninguno,No,Sí,No efectivos,Conservadoras,Conservadoras,No sabe/No responde,,No sabe/No responde,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 11:28:46,Sí,Sociología,3,19,Femenino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En el último año,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Docentes","Prácticas y/o salidas de campo, Pasillos, Baños",Cursos y seminarios,Cursos y seminarios,2,"Bienestar Universitario, Centro de atención en género y diversidad sexual, Decanatura",Ninguno,No,Sí,No efectivos,Conservadoras,Flexibles,No sabe/No responde,Inoperante,No sabe/No responde,Sí,"Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 11:32:09,Sí,Sociología ,4,19,Femenino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Actores externos al rededor de la universidad","Alrededores de la Universidad, Prácticas y/o salidas de campo, Baños","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",Ninguna,1,Bienestar Universitario,Ninguno,No,Sí,No efectivos,Conservadoras,Conservadoras,Inoperante,Inoperante,No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 11:34:23,Sí,Sociología ,3,18,Femenino,"Acoso Sexual (Acoso físico, verbal, visual)","Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Docentes","Aulas, Prácticas y/o salidas de campo, Pasillos","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios",Conversatorios e iniciativas culturales y artísticas,1,Bienestar Universitario,Ninguno,No,Sí,No sabe/No responde,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 11:47:58,Sí,Sociología ,9,24,Femenino,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En el último año,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Docentes","Prácticas y/o salidas de campo, Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)","Cátedra del cuidado de sí (Nataly Palacios), Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios",Cursos y seminarios,4,"Bienestar Universitario, Centro de atención en género y diversidad sexual","Escrache, Divulgación en medios independientes como revistas",Sí,Sí,Parcialmente efectivos,Conservadoras,Innovadoras,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 11:51:42,Sí,Sociología ,3,33,Femenino,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En el último año,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Docentes, Compañero sexual o afectivo que también es estudiante","Aulas, Prácticas y/o salidas de campo, Espacios de interacción social (plazoleta, jardineras, etc)",Ninguna,Ninguna,2,"Bienestar Universitario, Líneas de atención telefónica o vía email, Decanatura",Ninguno,No,No,No efectivos,Flexibles,Flexibles,Inoperante,Inoperante,No,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes",
27/9/2024 12:02:46,Sí,Antropología ,3,20,Femenino,Nignuno,Nignuno,No aplica,"Comentarios sexistas en espacios de interacción social o esparcimiento, Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad","Estudiantes, Docentes, Actores externos al rededor de la universidad","Alrededores de la Universidad, Prácticas y/o salidas de campo, Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios, Campañas de sensibilización",Ninguna,3,Bienestar Universitario,Ninguno,Sí,Sí,No efectivos,No sabe/No responde,Flexibles,"Colaborativo, proactivo","Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
27/9/2024 12:11:02,Sí,Sociología ,5,22,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Docentes","Alrededores de la Universidad, Prácticas y/o salidas de campo, Espacios de interacción social (plazoleta, jardineras, etc)","No género violencia, Cursos y seminarios, Campañas de sensibilización",Conversatorios e iniciativas culturales y artísticas,3,"Unidad de asuntos disciplinarios (UAD), Centro de atención en género y diversidad sexual",Protestas,No,No,No efectivos,Conservadoras,Flexibles,Inoperante,Inoperante,No,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
